,Año,Periodo,Premio
0,1812,Año,3.604
1,1813,Año,8.553
2,1814,Año,23.892
3,1815,Año,33.466
4,1816,Año,34.503
5,1817,Año,32.026
6,1818,Año,8.705
7,1819,Año,15.389
8,1820,Año,2.457
9,1821,Año,8.364
10,1822,Año,9.311
11,1823,Año,1.879
12,1824,Año,2.124
13,1825,Año,9.275
14,1826,Año,14.544
15,1827,Año,6.835
16,1828,Año,523.0
17,1829,Año,2.127
18,1830,Año,2.652
19,1831,Año,1.49
20,1832,Año,8.318
21,1833,Año,7.589
22,1834,Año,9.703
23,1835,Año,7.175
24,1836,Año,7.102
25,1837,Año,3.616
26,1838,Año,6.094
27,1839,Año,1.833
28,1840,Año,1.66
29,1841,Año,6.585
30,1842,Año,5.228
31,1843,Año,9.975
32,1844,Año,7.312
33,1845,Año,13.046
34,1846,Año,4.457
35,1847,Año,13.656
36,1848,Año,1.474
37,1849,Año,12.724
38,1850,Año,12.223
39,1851,Año,12.105
40,1852,Año,11.528
41,1853,Año,16.673
42,1854,Año,14.938
43,1855,Año,15.406
44,1856,Año,13.094
45,1857,Año,2.147
46,1858,Año,12.085
47,1859,Año,18.4
48,1860,Año,20.563
49,1861,Año,23.033
50,1862,Año,4.036
51,1863,Año,3.224
52,1864,Año,18.968
53,1865,Año,1.603
54,1866,Año,615.0
55,1867,Año,14.985
56,1868,Año,4.385
57,1869,Año,18.875
58,1870,Año,9.914
59,1871,Año,9.457
60,1872,Año,16.374
61,1873,Año,10.014
62,1874,Año,9.452
63,1875,Año,7.932
64,1876,Año,21.69
65,1877,Año,12.797
66,1878,Año,6.157
67,1879,Año,25.018
68,1880,Año,35.999
69,1881,Año,17.057
70,1882,Año,6.679
71,1883,Año,38.608
72,1884,Año,14.292
73,1885,Año,45.488
74,1886,Año,6.695
75,1887,Año,24.566
76,1888,Año,4.211
77,1889,Año,45.4
78,1890,Año,15.02
79,1891,Año,33.558
80,1892,Año,40.297
81,1893,Año,31.892
82,1894,Año,8.653
83,1895,Año,25.444
84,1896,Año,8.669
85,1897,Año,13.515
86,1898,Año,52.761
87,1899,Año,12.515
88,1900,Año,26.285
89,1901,Año,30.565
90,1902,Año,28.038
91,1903,Año,20.297
92,1904,Año,15.162
93,1905,Año,32.865
94,1906,Año,34.746
95,1907,Año,2.048
96,1908,Año,35.819
97,1909,Año,24.056
98,1910,Año,22.101
99,1911,Año,3.884
100,1912,Año,10.644
101,1913,Año,18.073
102,1914,Año,50.047
103,1915,Año,48.685
104,1916,Año,19.158
105,1917,Año,2.091
106,1918,Año,5.605
107,1919,Año,53.452
108,1920,Año,9.053
109,1921,Año,28.876
110,1922,Año,46.46
111,1923,Año,18.398
112,1924,Año,15.77
113,1925,Año,11.519
114,1926,Año,17.229
115,1927,Año,10.123
116,1928,Año,6.692
117,1929,Año,53.453
118,1930,Año,24.63
119,1931,Año,24.717
120,1932,Año,29.757
121,1933,Año,7.139
122,1934,Año,2.686
123,1935,Año,25.888
124,1936,Año,5.287
125,1937,Año,1.165
126,1938,Año,22.655
127,1939,Año,13.093
128,1940,Año,43.944
129,1941,Año,58.856
130,1942,Año,9.029
131,1943,Año,34.545
132,1944,Año,33.037
133,1945,Año,42.587
134,1946,Año,45.59
135,1947,Año,35.92
136,1948,Año,26.664
137,1949,Año,55.666
138,1950,Año,45.749
139,1951,Año,2.704
140,1952,Año,25.766
141,1953,Año,3.27
142,1954,Año,53.584
143,1955,Año,50.58
144,1956,Año,15.64
145,1957,Año,53.414
146,1958,Año,33.704
147,1959,Año,36.6
148,1960,Año,2.365
149,1961,Año,24.964
150,1962,Año,675.0
151,1963,Año,19.936
152,1964,Año,20.426
153,1965,Año,49.873
154,1966,Año,48.677
155,1967,Año,43.758
156,1968,Año,57.15
157,1969,Año,59.536
158,1970,Año,19.381
159,1971,Año,23.238
160,1972,Año,42.435
161,1973,Año,34.739
162,1974,Año,12.176
163,1975,Año,47.107
164,1976,Año,49.764
165,1977,Año,34.571
166,1978,Año,15.64
167,1979,Año,40.286
168,1980,Año,60.076
169,1981,Año,23.786
170,1982,Año,21.515
171,1983,Año,53.288
172,1984,Año,50.076
173,1985,Año,63.369
174,1986,Año,3.772
175,1987,Año,20.064
176,1988,Año,21.583
177,1989,Año,61.714
178,1990,Año,32.522
179,1991,Año,47.996
180,1992,Año,31.466
181,1993,Año,47.884
182,1994,Año,49.595
183,1995,Año,45.495
184,1996,Año,56.169
185,1997,Año,43.728
186,1998,Año,21.856
187,1999,Año,65.379
188,2000,Año,49.74
189,2001,Año,18.795
190,2002,Año,8.103
191,2003,Año,42.473
192,2004,Año,54.6
193,2005,Año,20.085
194,2006,Año,20.297
195,2007,Año,6.381
196,2008,Año,32.365
197,2009,Año,78.294
198,2010,Año,79.25
199,2011,Año,58.268
200,2012,Año,76.058
201,2013,Año,62.246
202,2014,Año,13.437
203,2015,Año,79.14
204,2016,Año,66.513
205,2017,Año,71.198
206,2018,Año,3.347
207,2019,Año,26.59
208,2020,Año,72.897
209,2021,Año,86.148
210,2022,Año,5.49
211,2023,Año,88.008
